mutant_id,fraction_disordered,has_clash,iptm,ptm,ranking_score,pLDDT,ipLDDT,binding_score
mutant_0000,0.07,0.0,0.42,0.54,0.48,88.80884012539187,86.6105,9.484585780732427
mutant_0001,0.07,0.0,0.5,0.58,0.55,89.7001149425287,87.25434389140273,9.430990995957574
mutant_0002,0.07,0.0,0.68,0.72,0.73,91.20349007314525,89.82695454545454,9.497006442037115
mutant_0003,0.08,0.0,0.48,0.57,0.54,88.91247648902824,86.55127962085308,9.499691425717383
mutant_0004,0.07,0.0,0.41,0.52,0.47,88.80993730407528,85.78733644859813,9.380737338620486
mutant_0005,0.08,0.0,0.77,0.78,0.81,91.57665621734589,90.94883177570092,9.52902022022239
mutant_0006,0.07,0.0,0.72,0.74,0.76,90.83221525600844,89.20287037037036,9.58893633625694
mutant_0007,0.07,0.0,0.67,0.71,0.71,90.97036572622787,89.57246575342465,9.39740406571441
mutant_0008,0.08,0.0,0.77,0.78,0.81,91.37956112852673,90.67609302325582,9.514613549967448
mutant_0009,0.08,0.0,0.77,0.78,0.81,91.67805642633236,90.9774074074074,9.477912683170484
mutant_0010,0.08,0.0,0.78,0.78,0.81,91.80782654127486,91.33928909952607,9.441100901696002
mutant_0011,0.07,0.0,0.68,0.72,0.73,91.32947753396041,90.38353488372093,9.529289284857104
mutant_0012,0.07,0.0,0.76,0.77,0.8,91.41620689655164,90.65148837209303,9.534617327408627
mutant_0013,0.08,0.0,0.4,0.52,0.47,88.85928944618591,85.8675117370892,9.529852174736012
mutant_0014,0.08,0.0,0.4,0.52,0.46,88.84094043887141,85.8967441860465,9.470050428272495
mutant_0015,0.08,0.0,0.78,0.78,0.82,91.84277951933122,91.71354066985644,9.427236342122148
mutant_0016,0.07,0.0,0.76,0.77,0.8,91.6372204806687,90.45564814814816,9.534162225201216
mutant_0017,0.08,0.0,0.77,0.78,0.81,91.59639498432608,90.90511520737327,9.534569087010494
mutant_0018,0.07,0.0,0.77,0.78,0.81,91.48908045977008,90.83674418604652,9.539253865384213
mutant_0019,0.08,0.0,0.41,0.53,0.47,88.82683385579934,85.67643518518518,9.507127668004296
mutant_0020,0.07,0.0,0.77,0.78,0.81,91.42234064785794,90.70311627906976,9.558768140685688
mutant_0021,0.07,0.0,0.74,0.76,0.78,91.42241379310347,90.21194444444444,9.499876743079309
mutant_0022,0.07,0.0,0.41,0.53,0.48,88.75014629049114,86.27452991452991,9.619101850594278
mutant_0023,0.08,0.0,0.4,0.52,0.46,88.8399373040752,86.01934272300471,9.552530789339052
mutant_0024,0.08,0.0,0.77,0.78,0.81,91.60435736677114,90.92022935779816,9.532798536889006
mutant_0025,0.08,0.0,0.6,0.67,0.65,90.1109717868338,88.59637209302326,9.500735609956784
mutant_0026,0.08,0.0,0.76,0.77,0.8,91.82403343782653,91.01582568807338,9.5811013327198
mutant_0027,0.07,0.0,0.5,0.59,0.56,89.73038662486928,87.00479262672812,9.59244134552279
mutant_0028,0.08,0.0,0.71,0.73,0.76,91.26965517241379,90.2281220657277,9.5034464643607
mutant_0029,0.07,0.0,0.78,0.78,0.81,91.82463949843269,90.87251141552511,9.567363645103574
mutant_0030,0.08,0.0,0.77,0.78,0.81,91.54705329153613,91.11716279069766,9.520201728380432
mutant_0031,0.07,0.0,0.74,0.76,0.78,91.55997910135822,90.59553488372093,9.545746646546348
mutant_0032,0.08,0.0,0.71,0.73,0.75,90.99833855799372,89.93840375586853,9.530290028572368
mutant_0033,0.07,0.0,0.68,0.72,0.73,91.2252455590387,90.10371559633028,9.563840496045788
mutant_0034,0.07,0.0,0.54,0.61,0.59,89.84096133751314,87.31031818181819,9.405192783628983
mutant_0035,0.08,0.0,0.77,0.78,0.81,91.58563218390813,90.74447004608292,9.536082426466512
mutant_0036,0.08,0.0,0.77,0.78,0.81,91.6184639498433,90.7452336448598,9.552957221538511
mutant_0037,0.08,0.0,0.54,0.62,0.6,89.97183908045976,87.69995412844037,9.5237725502319
mutant_0038,0.07,0.0,0.69,0.71,0.73,90.42121212121219,88.17604444444444,9.544013827723813
mutant_0039,0.08,0.0,0.77,0.78,0.81,91.51446185997912,90.76249999999999,9.564223839454264
mutant_0040,0.08,0.0,0.77,0.78,0.81,91.5122570532915,90.80834905660377,9.5319676653436
mutant_0041,0.08,0.0,0.76,0.77,0.8,91.41053291536055,90.42146118721463,9.586232215181914
mutant_0042,0.07,0.0,0.49,0.57,0.54,88.88217345872515,85.52668122270742,9.52243260326531
mutant_0043,0.07,0.0,0.78,0.78,0.82,91.51574712643676,90.83546296296296,9.524370730505805
mutant_0044,0.08,0.0,0.77,0.78,0.81,91.4276802507836,90.71660465116278,9.518627654486266
mutant_0045,0.07,0.0,0.72,0.74,0.76,91.01258098223624,89.99769953051643,9.501639942539082
mutant_0046,0.07,0.0,0.78,0.78,0.81,91.66061650992684,90.68249999999999,9.52597245374352
mutant_0047,0.07,0.0,0.63,0.68,0.68,90.34838035527687,88.15786046511627,9.510890465851546
mutant_0048,0.07,0.0,0.46,0.56,0.51,89.27721003134799,86.4325,9.45432983029569
mutant_0049,0.08,0.0,0.64,0.69,0.69,90.7205538140021,90.08893203883495,9.566856769182628
mutant_0050,0.07,0.0,0.67,0.71,0.72,91.05944618599788,89.87600917431193,9.505462194277362
mutant_0051,0.07,0.0,0.76,0.77,0.8,91.36010449320784,90.53093023255815,9.482122913189585
mutant_0052,0.08,0.0,0.65,0.7,0.7,90.57644723092989,89.0167298578199,9.560848145201067
mutant_0053,0.07,0.0,0.67,0.71,0.71,91.08368861024044,89.57550458715596,9.490088135603711
mutant_0054,0.08,0.0,0.76,0.77,0.8,91.41411703239288,90.69334883720931,9.507293397033088
mutant_0055,0.07,0.0,0.68,0.72,0.72,91.15663531870415,90.0772018348624,9.576278015668438
mutant_0056,0.07,0.0,0.53,0.61,0.59,89.22515151515151,86.15123348017622,9.528285363814613
mutant_0057,0.08,0.0,0.72,0.74,0.77,90.55415882967617,89.37158878504671,9.55577533363967
mutant_0058,0.08,0.0,0.77,0.78,0.81,91.38507836990593,90.69747663551402,9.518873736496298
mutant_0059,0.07,0.0,0.41,0.53,0.47,88.74814002089856,86.56045081967213,9.383121808257002
mutant_0060,0.08,0.0,0.77,0.77,0.81,91.47910135841181,90.4824074074074,9.518757500141204
mutant_0061,0.08,0.0,0.68,0.72,0.73,90.56065830721016,88.55728110599078,9.48850624926333
mutant_0062,0.08,0.0,0.77,0.78,0.81,91.77543364681291,90.81790697674418,9.448537728299565
mutant_0063,0.07,0.0,0.43,0.54,0.49,88.79480668756534,86.14175925925926,9.456462464105664
mutant_0064,0.08,0.0,0.71,0.73,0.76,90.74708463949854,89.56785714285714,9.641084288852824
